timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1651511300215,4353,StartApp,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,771001,12616,1,1,null,0,479,2615
1651511300356,4353,https://demo.nopcommerce.com/,200,OK,Thread Group 1-1,text,true,,771001,12616,1,1,https://demo.nopcommerce.com/,3118,0,2615
